animal_id,latitude_2dp,longitude_2dp,sex,age_class,lactating,pregnant,fecal_weight_g,toxocara_count,toxocara_epg,ancylostoma_count,ancylostoma_epg,coccidia_count,coccidia_epg,trichuris_count,giardia_antigen,cryptosporidium_antigen,toxoplasma_serology
F1,40.68,-73.89,F,A,Y,N,1.42,7.0,4.93,,,6.0,4.23,,,,
F2,40.68,-73.89,M,J,,,1.15,902.0,784.35,284.0,246.96,,,,,,
F3,40.68,-73.89,F,J,Y,N,0.24,99.0,412.5,6.0,25.0,,,,,,
F4,40.68,-73.89,M,J,,,1.1,1384.0,1258.18,,,129.0,117.27,,,,
F5,40.68,-73.89,M,A,,,1.42,1.0,0.7,,,,,,,,
F6,40.68,-73.89,M,J,,,0.85,1300.0,1529.41,,,,,,,,
F7,40.68,-73.89,M,J,,,1.14,2.0,1.75,,,,,,,,
F8,40.68,-73.89,M,J,,,1.36,23.0,16.91,,,,,,Y,,Y
F9,40.68,-73.89,F,J,N,N,0.39,17.0,43.59,2.0,5.13,,,,,,Y
F10,40.68,-73.89,F,J,N,N,0.93,9.0,9.68,,,,,,,,
F11,40.69,-73.84,F,J,N,N,1.11,,,,,,,,,,
F13,40.66,-73.91,F,A,Y,N,1.56,1.0,0.64,,,,,,,,
F14,40.66,-73.92,F,J,N,N,0.47,3.0,6.38,,,,,,,,
F15,40.68,-73.89,M,A,,,0.38,159.0,418.42,,,,,,,,
F16,40.68,-73.9,F,K,N,N,0.1,,,,,,,,,,
F17,40.68,-73.9,F,K,N,N,0.86,466.0,541.86,,,,,,,,
F18,40.68,-73.9,F,A,N,N,1.36,,,,,,,,,,
F19,40.68,-73.9,F,J,Y,N,0.75,,,,,,,,,,
F20,40.68,-73.9,F,J,N,N,1.22,,,,,,,,,,
F21,40.68,-73.9,M,A,,,1.06,23.0,21.7,1000.0,943.4,,,,,,
F22,40.68,-73.9,F,A,Y,N,0.1,1.0,10.0,,,,,,Y,,
F23,40.68,-73.9,F,J,N,Y,0.1,1.0,10.0,,,,,,,,
F24,40.66,-73.9,F,J,N,Y,1.04,,,,,,,,,,
F25,40.67,-73.91,F,J,N,N,1.06,1.0,0.94,,,,,,,,
F27,40.64,-73.94,F,J,N,Y,0.67,,,,,,,,,,
F28,40.68,-73.87,F,A,Y,N,0.72,97.0,134.72,,,3.0,4.17,,,,Y
F29,40.82,-73.89,M,A,,,0.73,,,,,,,,,,
F30,40.67,-73.86,F,A,N,N,0.74,,,,,,,,,,
F31,40.62,-73.92,F,J,Y,N,1.15,,,,,,,,,,
F32,40.64,-73.94,F,J,N,Y,0.21,1.0,4.76,,,,,,Y,,
F33,40.73,-73.72,M,J,,,1.36,3.0,2.21,361.0,265.44,,,,,,
F34,40.68,-73.75,F,J,Y,N,1.53,,,,,,,,,,
F35,40.69,-73.78,F,J,N,N,1.15,,,,,,,,,,
F36,40.69,-73.83,F,J,N,Y,0.45,61.0,135.56,,,,,,,,
F37,40.69,-73.79,F,J,Y,N,1.05,2.0,1.9,13.0,12.38,,,,,,
F38,40.62,-73.92,F,A,N,N,0.15,,,,,,,,,,
F39,40.65,-73.94,M,J,,,1.18,,,,,,,,,,
